Equipamento;Valor Indenização;Valor Indenização Total;Patrimônio;Marca;Modelo;Peso;Peso Total;Valor Patrimônio;Tipo Patrimônio;Qtde;Contrato;Valor Contrato; Cliente; Dt. Ativação; Dt.Devolução; Obra; Endereço Obra; Status; Tipo de Locação
CHAVE DE CATRACA;R$ 700;R$ 1.400;34;Abrafer;-;0,8;1,6;R$ 350,00;Próprio;2;159;R$ 33.556,48;ENGIX CONSTRUCOES E SERVICOS LTDA;06/01/2026;01/05/2026;Ginasio Jones dos Santos DED;Bento Ferreira, Vitória - ES;ATIVO;Mensal
CHAVE DE CATRACA;R$ 700;R$ 700;34;Abrafer;-;0,8;0,8;R$ 350,00;Próprio;1;109;R$ 26.844,52;QUALITY CONSTRUTORA E INCORPORADORA LTDA;28/02/2025;31/10/2025;Alphaville 3 Praias - Res Homero;Guarapari Bairro Perocão;ATIVO;Mensal
Compensado 12mm 110x220;R$ 190;R$ 760;148;-;-;19;76;R$ 150,00;Próprio;4;142;R$ 16.147,60;PROMIX COMERCIO E LOCACAO DE EQUIPAMENTOS LTDA;11/09/2025;01/05/2026;Dallas Fontes ;Centro - Guarapari - ES Rua Joaquim Da Silva Lima, 356 - Centro, Guarapari - ES | 29200-260;ATIVO;Mensal
Compensado 12mm 110x220;R$ 190;R$ 7.600;148;-;-;19;760;R$ 150,00;Próprio;40;135;R$ 128.535,17;PHD CONSTRUCOES E PAVIMENTACOES LTDA;29/07/2025;31/03/2026;Teatro Glória;Av. Jerônimo Monteiro, 428 - Centro - Vitória;ATIVO;Mensal
Compensado 12mm 110x220;R$ 190;R$ 12.920;148;-;-;19;1292;R$ 150,00;Próprio;68;135;R$ 128.535,17;PHD CONSTRUCOES E PAVIMENTACOES LTDA;29/07/2025;31/03/2026;Teatro Glória;Av. Jerônimo Monteiro, 428 - Centro - Vitória;ATIVO;Mensal
Compensado 17mm 095x220;R$ 233,10;R$ 699,30;117;-;-;23,31;69,93;R$ 0,00;Próprio;3;142;R$ 16.147,60;PROMIX COMERCIO E LOCACAO DE EQUIPAMENTOS LTDA;11/09/2025;01/05/2026;Dallas Fontes ;Centro - Guarapari - ES Rua Joaquim Da Silva Lima, 356 - Centro, Guarapari - ES | 29200-260;ATIVO;Mensal
Compensado 17mm 100x220;R$ 245,40;R$ 490,80;119;-;-;24,54;49,08;R$ 0,00;Próprio;2;142;R$ 16.147,60;PROMIX COMERCIO E LOCACAO DE EQUIPAMENTOS LTDA;11/09/2025;01/05/2026;Dallas Fontes ;Centro - Guarapari - ES Rua Joaquim Da Silva Lima, 356 - Centro, Guarapari - ES | 29200-260;ATIVO;Mensal
Compensado 17mm 110x160;R$ 178,50;R$ 1.249,50;121;-;-;17,85;124,95;R$ 0,00;Próprio;7;142;R$ 16.147,60;PROMIX COMERCIO E LOCACAO DE EQUIPAMENTOS LTDA;11/09/2025;01/05/2026;Dallas Fontes ;Centro - Guarapari - ES Rua Joaquim Da Silva Lima, 356 - Centro, Guarapari - ES | 29200-260;ATIVO;Mensal
Compensado 17mm 110x215;R$ 263,70;R$ 527,40;170;-;-;26,37;52,74;R$ 0,00;Próprio;2;142;R$ 16.147,60;PROMIX COMERCIO E LOCACAO DE EQUIPAMENTOS LTDA;11/09/2025;01/05/2026;Dallas Fontes ;Centro - Guarapari - ES Rua Joaquim Da Silva Lima, 356 - Centro, Guarapari - ES | 29200-260;ATIVO;Mensal
Compensado 17mm 110x220;R$ 270;R$ 270;120;-;-;27;27;R$ 0,00;Próprio;1;142;R$ 16.147,60;PROMIX COMERCIO E LOCACAO DE EQUIPAMENTOS LTDA;11/09/2025;01/05/2026;Dallas Fontes ;Centro - Guarapari - ES Rua Joaquim Da Silva Lima, 356 - Centro, Guarapari - ES | 29200-260;ATIVO;Mensal
Compensado 17mm 80x220;R$ 196,30;R$ 392,60;168;-;-;19,63;39,26;R$ 0,00;Próprio;2;142;R$ 16.147,60;PROMIX COMERCIO E LOCACAO DE EQUIPAMENTOS LTDA;11/09/2025;01/05/2026;Dallas Fontes ;Centro - Guarapari - ES Rua Joaquim Da Silva Lima, 356 - Centro, Guarapari - ES | 29200-260;ATIVO;Mensal
CONECTOR S;R$ 41,70;R$ 1.167,60;44;FORTEQUIPE;-;0,57;15,96;R$ 13,90;Próprio;28;170;R$ 20.911,01;AGUIA PARTICIPACOES E SERVICOS LTDA;11/03/2026;01/05/2026;RESIDENCIA BOULEVARD DA LAGOA;AVENIDA TALMA RODRIGUES RIBEIRO S/N;ATIVO;Mensal
CONECTOR S;R$ 41,70;R$ 4.420,20;44;FORTEQUIPE;-;0,57;60,42;R$ 13,90;Próprio;106;165;R$ 20.065,21;QUALITY CONSTRUTORA E INCORPORADORA LTDA;23/02/2026;31/03/2026;ALPHAVILLE 3 PRAIAS - RES. EVERSON DADALTO;Alphaville 3 Praias - Guarapari/ES;ATIVO;Mensal
CONECTOR S;R$ 41,70;R$ 1.167,60;44;FORTEQUIPE;-;0,57;15,96;R$ 13,90;Próprio;28;159;R$ 33.556,48;ENGIX CONSTRUCOES E SERVICOS LTDA;06/01/2026;01/05/2026;Ginasio Jones dos Santos DED;Bento Ferreira, Vitória - ES;ATIVO;Mensal
CONECTOR S;R$ 41,70;R$ 166,80;44;FORTEQUIPE;-;0,57;2,28;R$ 13,90;Próprio;4;159;R$ 33.556,48;ENGIX CONSTRUCOES E SERVICOS LTDA;06/01/2026;01/05/2026;Ginasio Jones dos Santos DED;Bento Ferreira, Vitória - ES;ATIVO;Mensal
CONECTOR S;R$ 41,70;R$ 4.003,20;44;FORTEQUIPE;-;0,57;54,72;R$ 13,90;Próprio;96;159;R$ 33.556,48;ENGIX CONSTRUCOES E SERVICOS LTDA;06/01/2026;01/05/2026;Ginasio Jones dos Santos DED;Bento Ferreira, Vitória - ES;ATIVO;Mensal
CONECTOR S;R$ 41,70;R$ 2.293,50;44;FORTEQUIPE;-;0,57;31,35;R$ 13,90;Próprio;55;158;R$ 11.557,55;Luciana Pimenta Ambrozevicius;08/01/2026;31/03/2026;RESIDÊNCIA AMARY;Av. Norte Sul, Guarapari - ES, 29206-570;ATIVO;Mensal
CONECTOR S;R$ 41,70;R$ 375,30;44;FORTEQUIPE;-;0,57;5,13;R$ 13,90;Próprio;9;146;R$ 62.182,16;DW EMPREENDIMENTOS IMOBILIARIOS LTDA;03/10/2025;31/03/2026;Residência Carone;AVENIDA PIETRANGELO VIVAQUA DEBIASE 1, 100, PRAIA DO MORRO, GUARAPARI, CEP 29.216-900, CONDOMINIO ALDEIA DA PRAIA S E T O R C - 0 2 ;ATIVO;Mensal
CONECTOR S;R$ 41,70;R$ 11.842,80;44;FORTEQUIPE;-;0,57;161,88;R$ 13,90;Próprio;284;146;R$ 62.182,16;DW EMPREENDIMENTOS IMOBILIARIOS LTDA;03/10/2025;31/03/2026;Residência Carone;AVENIDA PIETRANGELO VIVAQUA DEBIASE 1, 100, PRAIA DO MORRO, GUARAPARI, CEP 29.216-900, CONDOMINIO ALDEIA DA PRAIA S E T O R C - 0 2 ;ATIVO;Mensal
CONECTOR S;R$ 41,70;R$ 1.334,40;44;FORTEQUIPE;-;0,57;18,24;R$ 13,90;Próprio;32;146;R$ 62.182,16;DW EMPREENDIMENTOS IMOBILIARIOS LTDA;03/10/2025;31/03/2026;Residência Carone;AVENIDA PIETRANGELO VIVAQUA DEBIASE 1, 100, PRAIA DO MORRO, GUARAPARI, CEP 29.216-900, CONDOMINIO ALDEIA DA PRAIA S E T O R C - 0 2 ;ATIVO;Mensal
CONECTOR S;R$ 41,70;R$ 5.004;44;FORTEQUIPE;-;0,57;68,4;R$ 13,90;Próprio;120;126;R$ 60.443,08;QUALITY CONSTRUTORA E INCORPORADORA LTDA;13/06/2025;31/03/2026;Alphaville 3 Praias - Res Luciana;Guarapari Bairro Perocão;ATIVO;Mensal
CONECTOR S;R$ 41,70;R$ 2.085;44;FORTEQUIPE;-;0,57;28,5;R$ 13,90;Próprio;50;126;R$ 60.443,08;QUALITY CONSTRUTORA E INCORPORADORA LTDA;13/06/2025;31/03/2026;Alphaville 3 Praias - Res Luciana;Guarapari Bairro Perocão;ATIVO;Mensal
CONECTOR S;R$ 41,70;R$ 2.376,90;44;FORTEQUIPE;-;0,57;32,49;R$ 13,90;Próprio;57;126;R$ 60.443,08;QUALITY CONSTRUTORA E INCORPORADORA LTDA;13/06/2025;31/03/2026;Alphaville 3 Praias - Res Luciana;Guarapari Bairro Perocão;ATIVO;Mensal
CONECTOR S;R$ 41,70;R$ 375,30;44;FORTEQUIPE;-;0,57;5,13;R$ 13,90;Próprio;9;126;R$ 60.443,08;QUALITY CONSTRUTORA E INCORPORADORA LTDA;13/06/2025;31/03/2026;Alphaville 3 Praias - Res Luciana;Guarapari Bairro Perocão;ATIVO;Mensal
CONECTOR S;R$ 41,70;R$ 1.501,20;44;FORTEQUIPE;-;0,57;20,52;R$ 13,90;Próprio;36;101;R$ 97.318,38;ITABIRA CONNECTED EMPREENDIMENTOS SPE LTDA;21/01/2025;01/05/2026;Itabira ;², situado na Rua Itaboraí, 107, Praia  de Itaparica, Vila Velha/ES, CEP: 29.102-195,;ATIVO;Mensal
CONECTOR S;R$ 41,70;R$ 41,70;44;FORTEQUIPE;-;0,57;0,57;R$ 13,90;Próprio;1;101;R$ 97.318,38;ITABIRA CONNECTED EMPREENDIMENTOS SPE LTDA;21/01/2025;01/05/2026;Itabira ;², situado na Rua Itaboraí, 107, Praia  de Itaparica, Vila Velha/ES, CEP: 29.102-195,;ATIVO;Mensal
CONECTOR S N;R$ 41,70;R$ 667,20;1100;NEOCI;-;0,57;9,12;R$ 0,00;Sublocado;16;126;R$ 60.443,08;QUALITY CONSTRUTORA E INCORPORADORA LTDA;13/06/2025;31/03/2026;Alphaville 3 Praias - Res Luciana;Guarapari Bairro Perocão;ATIVO;Mensal
Contrato;R$ 0;R$ 0;9000;-;-;0;0;R$ 1,00;Próprio;1;172;R$ 1,00;Fundação Espírito Santense de TecnologiaFEST;;;MOSAICO UFES;Avenida Fernando Ferrari, nº 1080 Salas 301-306, Mata da Praia, Vitória/ES;PENDENTE;Mensal
CRUZETA 135/155 S;R$ 249,61;R$ 21.965,68;47;FORTEQUIPE;-;4,11;361,68;R$ 73,55;Próprio;88;170;R$ 20.911,01;AGUIA PARTICIPACOES E SERVICOS LTDA;11/03/2026;01/05/2026;RESIDENCIA BOULEVARD DA LAGOA;AVENIDA TALMA RODRIGUES RIBEIRO S/N;ATIVO;Mensal
CRUZETA 135/155 S;R$ 249,61;R$ 10.982,84;47;FORTEQUIPE;-;4,11;180,84;R$ 73,55;Próprio;44;168;R$ 21.844,64;Antônio Medeiros Madeira;04/03/2026;02/04/2026;ALAMEDA DAS CASTANHEIRAS;Rua Alameda das Castanheiras _ Quadra AE  Lote 005;ATIVO;Mensal
CRUZETA 135/155 S;R$ 249,61;R$ 22.964,12;47;FORTEQUIPE;-;4,11;378,12;R$ 73,55;Próprio;92;165;R$ 20.065,21;QUALITY CONSTRUTORA E INCORPORADORA LTDA;23/02/2026;31/03/2026;ALPHAVILLE 3 PRAIAS - RES. EVERSON DADALTO;Alphaville 3 Praias - Guarapari/ES;ATIVO;Mensal
CRUZETA 135/155 S;R$ 249,61;R$ 4.992,20;47;FORTEQUIPE;-;4,11;82,2;R$ 73,55;Próprio;20;165;R$ 20.065,21;QUALITY CONSTRUTORA E INCORPORADORA LTDA;23/02/2026;31/03/2026;ALPHAVILLE 3 PRAIAS - RES. EVERSON DADALTO;Alphaville 3 Praias - Guarapari/ES;ATIVO;Mensal
CRUZETA 135/155 S;R$ 249,61;R$ 17.223,09;47;FORTEQUIPE;-;4,11;283,59;R$ 73,55;Próprio;69;158;R$ 11.557,55;Luciana Pimenta Ambrozevicius;08/01/2026;31/03/2026;RESIDÊNCIA AMARY;Av. Norte Sul, Guarapari - ES, 29206-570;ATIVO;Mensal
CRUZETA 135/155 S;R$ 249,61;R$ 19.469,58;47;FORTEQUIPE;-;4,11;320,58;R$ 73,55;Próprio;78;146;R$ 62.182,16;DW EMPREENDIMENTOS IMOBILIARIOS LTDA;03/10/2025;31/03/2026;Residência Carone;AVENIDA PIETRANGELO VIVAQUA DEBIASE 1, 100, PRAIA DO MORRO, GUARAPARI, CEP 29.216-900, CONDOMINIO ALDEIA DA PRAIA S E T O R C - 0 2 ;ATIVO;Mensal
CRUZETA 135/155 S;R$ 249,61;R$ 57.410,30;47;FORTEQUIPE;-;4,11;945,3;R$ 73,55;Próprio;230;146;R$ 62.182,16;DW EMPREENDIMENTOS IMOBILIARIOS LTDA;03/10/2025;31/03/2026;Residência Carone;AVENIDA PIETRANGELO VIVAQUA DEBIASE 1, 100, PRAIA DO MORRO, GUARAPARI, CEP 29.216-900, CONDOMINIO ALDEIA DA PRAIA S E T O R C - 0 2 ;ATIVO;Mensal
CRUZETA 135/155 S;R$ 249,61;R$ 11.482,06;47;FORTEQUIPE;-;4,11;189,06;R$ 73,55;Próprio;46;146;R$ 62.182,16;DW EMPREENDIMENTOS IMOBILIARIOS LTDA;03/10/2025;31/03/2026;Residência Carone;AVENIDA PIETRANGELO VIVAQUA DEBIASE 1, 100, PRAIA DO MORRO, GUARAPARI, CEP 29.216-900, CONDOMINIO ALDEIA DA PRAIA S E T O R C - 0 2 ;ATIVO;Mensal
CRUZETA 135/155 S;R$ 249,61;R$ 5.990,64;47;FORTEQUIPE;-;4,11;98,64;R$ 73,55;Próprio;24;146;R$ 62.182,16;DW EMPREENDIMENTOS IMOBILIARIOS LTDA;03/10/2025;31/03/2026;Residência Carone;AVENIDA PIETRANGELO VIVAQUA DEBIASE 1, 100, PRAIA DO MORRO, GUARAPARI, CEP 29.216-900, CONDOMINIO ALDEIA DA PRAIA S E T O R C - 0 2 ;ATIVO;Mensal
CRUZETA 135/155 S;R$ 249,61;R$ 2.496,10;47;FORTEQUIPE;-;4,11;41,1;R$ 73,55;Próprio;10;126;R$ 60.443,08;QUALITY CONSTRUTORA E INCORPORADORA LTDA;13/06/2025;31/03/2026;Alphaville 3 Praias - Res Luciana;Guarapari Bairro Perocão;ATIVO;Mensal
CRUZETA 135/155 S;R$ 249,61;R$ 12.480,50;47;FORTEQUIPE;-;4,11;205,5;R$ 73,55;Próprio;50;126;R$ 60.443,08;QUALITY CONSTRUTORA E INCORPORADORA LTDA;13/06/2025;31/03/2026;Alphaville 3 Praias - Res Luciana;Guarapari Bairro Perocão;ATIVO;Mensal
CRUZETA 135/155 S;R$ 249,61;R$ 14.477,38;47;FORTEQUIPE;-;4,11;238,38;R$ 73,55;Próprio;58;126;R$ 60.443,08;QUALITY CONSTRUTORA E INCORPORADORA LTDA;13/06/2025;31/03/2026;Alphaville 3 Praias - Res Luciana;Guarapari Bairro Perocão;ATIVO;Mensal
CRUZETA 135/155 S;R$ 249,61;R$ 12.979,72;47;FORTEQUIPE;-;4,11;213,72;R$ 73,55;Próprio;52;126;R$ 60.443,08;QUALITY CONSTRUTORA E INCORPORADORA LTDA;13/06/2025;31/03/2026;Alphaville 3 Praias - Res Luciana;Guarapari Bairro Perocão;ATIVO;Mensal
CRUZETA 135/155 S;R$ 249,61;R$ 7.488,30;47;FORTEQUIPE;-;4,11;123,3;R$ 73,55;Próprio;30;126;R$ 60.443,08;QUALITY CONSTRUTORA E INCORPORADORA LTDA;13/06/2025;31/03/2026;Alphaville 3 Praias - Res Luciana;Guarapari Bairro Perocão;ATIVO;Mensal
CRUZETA 135/155 S;R$ 249,61;R$ 748,83;47;FORTEQUIPE;-;4,11;12,33;R$ 73,55;Próprio;3;101;R$ 97.318,38;ITABIRA CONNECTED EMPREENDIMENTOS SPE LTDA;21/01/2025;01/05/2026;Itabira ;², situado na Rua Itaboraí, 107, Praia  de Itaparica, Vila Velha/ES, CEP: 29.102-195,;ATIVO;Mensal
CRUZETA 135/155 S;R$ 249,61;R$ 249,61;47;FORTEQUIPE;-;4,11;4,11;R$ 73,55;Próprio;1;101;R$ 97.318,38;ITABIRA CONNECTED EMPREENDIMENTOS SPE LTDA;21/01/2025;01/05/2026;Itabira ;², situado na Rua Itaboraí, 107, Praia  de Itaparica, Vila Velha/ES, CEP: 29.102-195,;ATIVO;Mensal
CRUZETA 155 N;R$ 249,61;R$ 9.984,40;1090;NEOCI;-;4,11;164,4;R$ 0,00;Sublocado;40;126;R$ 60.443,08;QUALITY CONSTRUTORA E INCORPORADORA LTDA;13/06/2025;31/03/2026;Alphaville 3 Praias - Res Luciana;Guarapari Bairro Perocão;ATIVO;Mensal
CRUZETA 155 N;R$ 249,61;R$ 748,83;1090;NEOCI;-;4,11;12,33;R$ 0,00;Sublocado;3;101;R$ 97.318,38;ITABIRA CONNECTED EMPREENDIMENTOS SPE LTDA;21/01/2025;01/05/2026;Itabira ;², situado na Rua Itaboraí, 107, Praia  de Itaparica, Vila Velha/ES, CEP: 29.102-195,;ATIVO;Mensal
DEGRAU DE ESCADA PATAMAR DUPLO S;R$ 1.215;R$ 1.215;1041;Apoio;-;24,3;24,3;R$ 220,00;Sublocado;1;162;R$ 9.144,09;SIERRA LOG LTDA;02/02/2026;31/03/2026;GALPAO SIERRALOG;Rua Holdercim,1308 SETRO II, SERRA/ES;ATIVO;Mensal
DEGRAU DE ESCADA PATAMAR S;R$ 520;R$ 20.800;1040;Apoio;-;10,4;416;R$ 110,00;Sublocado;40;162;R$ 9.144,09;SIERRA LOG LTDA;02/02/2026;31/03/2026;GALPAO SIERRALOG;Rua Holdercim,1308 SETRO II, SERRA/ES;ATIVO;Mensal
DEGRAU DE ESCADA PATAMAR S;R$ 520;R$ 2.080;1040;Apoio;-;10,4;41,6;R$ 110,00;Sublocado;4;162;R$ 9.144,09;SIERRA LOG LTDA;02/02/2026;31/03/2026;GALPAO SIERRALOG;Rua Holdercim,1308 SETRO II, SERRA/ES;ATIVO;Mensal
DIAGONAL 170x200 - 2,60;R$ 952,64;R$ 11.431,68;1054;Apoio;-;7,94;95,28;R$ 728,00;Sublocado;12;160;R$ 22.249,80;Incolajes Industria e Comercio de Lajes LTDA;26/01/2026;31/03/2026;Portalflex;Rua Torricelli, 73, Parque Residencial Laranjeiras;ATIVO;Mensal
DIAGONAL 295 P/220;R$ 1.073,80;R$ 17.180,80;1049;Apoio;-;0;0;R$ 826,00;Sublocado;16;162;R$ 9.144,09;SIERRA LOG LTDA;02/02/2026;31/03/2026;GALPAO SIERRALOG;Rua Holdercim,1308 SETRO II, SERRA/ES;ATIVO;Mensal
DIAGONAL FCH 90;R$ 140,40;R$ 2.527,20;198;-;-;3,5;63;R$ 0,00;Próprio;18;159;R$ 33.556,48;ENGIX CONSTRUCOES E SERVICOS LTDA;06/01/2026;01/05/2026;Ginasio Jones dos Santos DED;Bento Ferreira, Vitória - ES;ATIVO;Mensal
DIAGONAL FCH 90;R$ 140,40;R$ 2.527,20;198;-;-;3,5;63;R$ 0,00;Próprio;18;159;R$ 33.556,48;ENGIX CONSTRUCOES E SERVICOS LTDA;06/01/2026;01/05/2026;Ginasio Jones dos Santos DED;Bento Ferreira, Vitória - ES;ATIVO;Mensal
DIAGONAL FCH 90;R$ 140,40;R$ 6.318;198;-;-;3,5;157,5;R$ 0,00;Próprio;45;135;R$ 128.535,17;PHD CONSTRUCOES E PAVIMENTACOES LTDA;29/07/2025;31/03/2026;Teatro Glória;Av. Jerônimo Monteiro, 428 - Centro - Vitória;ATIVO;Mensal
DIAGONAL FCH 90;R$ 140,40;R$ 8.424;198;-;-;3,5;210;R$ 0,00;Próprio;60;135;R$ 128.535,17;PHD CONSTRUCOES E PAVIMENTACOES LTDA;29/07/2025;31/03/2026;Teatro Glória;Av. Jerônimo Monteiro, 428 - Centro - Vitória;ATIVO;Mensal
DIAGONAL HORIZONTAL LEV 155;R$ 146,40;R$ 2.049,60;142;-;-;2,66;37,24;R$ 48,80;Próprio;14;170;R$ 20.911,01;AGUIA PARTICIPACOES E SERVICOS LTDA;11/03/2026;01/05/2026;RESIDENCIA BOULEVARD DA LAGOA;AVENIDA TALMA RODRIGUES RIBEIRO S/N;ATIVO;Mensal
DIAGONAL HORIZONTAL LEV 155;R$ 146,40;R$ 1.024,80;142;-;-;2,66;18,62;R$ 48,80;Próprio;7;146;R$ 62.182,16;DW EMPREENDIMENTOS IMOBILIARIOS LTDA;03/10/2025;31/03/2026;Residência Carone;AVENIDA PIETRANGELO VIVAQUA DEBIASE 1, 100, PRAIA DO MORRO, GUARAPARI, CEP 29.216-900, CONDOMINIO ALDEIA DA PRAIA S E T O R C - 0 2 ;ATIVO;Mensal
DIAGONAL HORIZONTAL LEV 155;R$ 146,40;R$ 7.320;142;-;-;2,66;133;R$ 48,80;Próprio;50;146;R$ 62.182,16;DW EMPREENDIMENTOS IMOBILIARIOS LTDA;03/10/2025;31/03/2026;Residência Carone;AVENIDA PIETRANGELO VIVAQUA DEBIASE 1, 100, PRAIA DO MORRO, GUARAPARI, CEP 29.216-900, CONDOMINIO ALDEIA DA PRAIA S E T O R C - 0 2 ;ATIVO;Mensal
DIAGONAL HORIZONTAL LEV 155;R$ 146,40;R$ 732;142;-;-;2,66;13,3;R$ 48,80;Próprio;5;126;R$ 60.443,08;QUALITY CONSTRUTORA E INCORPORADORA LTDA;13/06/2025;31/03/2026;Alphaville 3 Praias - Res Luciana;Guarapari Bairro Perocão;ATIVO;Mensal
DIAGONAL PAINEL 1,50m;R$ 128,96;R$ 257,92;204;-;-;4,03;8,06;R$ 0,00;Próprio;2;164;R$ 7.847,63;CONSÓRCIO CORREDOR NOVA LINDEMBERGH;02/03/2026;01/05/2026;SEMBOI - CONS CORREDOR NOVA LINDENBERG;RUA JOSE RAMOS DE OLIVEIRA, Nossa srª da Penha, VILA VELHA/ES;ATIVO;Mensal
ESCADA ENTRADA/SAÍDA S200;R$ 585;R$ 585;1056;Apoio;-;11,3;11,3;R$ 380,00;Sublocado;1;167;R$ 6.933,50;CONSTRUTORA CAMPO GRANDE LTDA;02/03/2026;31/03/2026;OTAMERICA TERMINAIS;Rua Vila Isabel, 0, São Torquato, Vila Velha;ATIVO;Mensal
ESCADA ENTRADA/SAÍDA S200;R$ 585;R$ 585;1056;Apoio;-;11,3;11,3;R$ 380,00;Sublocado;1;130;R$ 74.284,42;CLÍNICA OFTALMOLÓGICA BAHIA GOING LTDA - ME;27/06/2025;31/03/2026;PRIME OFTALMOLOGIA - 2 FASE da obra;Rua Alberto Sartório, 173, Universitário, São Mateus,  CEP29933-400;ATIVO;Mensal
ESCADA ENTRADA/SAÍDA S200;R$ 585;R$ 1.170;1056;Apoio;-;11,3;22,6;R$ 380,00;Sublocado;2;130;R$ 74.284,42;CLÍNICA OFTALMOLÓGICA BAHIA GOING LTDA - ME;27/06/2025;31/03/2026;PRIME OFTALMOLOGIA - 2 FASE da obra;Rua Alberto Sartório, 173, Universitário, São Mateus,  CEP29933-400;ATIVO;Mensal
ESCADA ENTRADA/SAÍDA S200;R$ 585;R$ 1.170;1056;Apoio;-;11,3;22,6;R$ 380,00;Sublocado;2;130;R$ 74.284,42;CLÍNICA OFTALMOLÓGICA BAHIA GOING LTDA - ME;27/06/2025;31/03/2026;PRIME OFTALMOLOGIA - 2 FASE da obra;Rua Alberto Sartório, 173, Universitário, São Mateus,  CEP29933-400;ATIVO;Mensal
ESCADA LEV 200;R$ 391,50;R$ 783;208;-;-;10,82;21,64;R$ 0,00;Próprio;2;164;R$ 7.847,63;CONSÓRCIO CORREDOR NOVA LINDEMBERGH;02/03/2026;01/05/2026;SEMBOI - CONS CORREDOR NOVA LINDENBERG;RUA JOSE RAMOS DE OLIVEIRA, Nossa srª da Penha, VILA VELHA/ES;ATIVO;Mensal
ESCADA S200;R$ 725;R$ 725;1039;Apoio;-;14,5;14,5;R$ 380,00;Sublocado;1;167;R$ 6.933,50;CONSTRUTORA CAMPO GRANDE LTDA;02/03/2026;31/03/2026;OTAMERICA TERMINAIS;Rua Vila Isabel, 0, São Torquato, Vila Velha;ATIVO;Mensal
ESCADA S200;R$ 725;R$ 2.175;1039;Apoio;-;14,5;43,5;R$ 380,00;Sublocado;3;135;R$ 128.535,17;PHD CONSTRUCOES E PAVIMENTACOES LTDA;29/07/2025;31/03/2026;Teatro Glória;Av. Jerônimo Monteiro, 428 - Centro - Vitória;ATIVO;Mensal
ESCADA S200;R$ 725;R$ 2.175;1039;Apoio;-;14,5;43,5;R$ 380,00;Sublocado;3;135;R$ 128.535,17;PHD CONSTRUCOES E PAVIMENTACOES LTDA;29/07/2025;31/03/2026;Teatro Glória;Av. Jerônimo Monteiro, 428 - Centro - Vitória;ATIVO;Mensal
ESCADA S200;R$ 725;R$ 1.450;1039;Apoio;-;14,5;29;R$ 380,00;Sublocado;2;130;R$ 74.284,42;CLÍNICA OFTALMOLÓGICA BAHIA GOING LTDA - ME;27/06/2025;31/03/2026;PRIME OFTALMOLOGIA - 2 FASE da obra;Rua Alberto Sartório, 173, Universitário, São Mateus,  CEP29933-400;ATIVO;Mensal
ESCADA S200;R$ 725;R$ 5.075;1039;Apoio;-;14,5;101,5;R$ 380,00;Sublocado;7;130;R$ 74.284,42;CLÍNICA OFTALMOLÓGICA BAHIA GOING LTDA - ME;27/06/2025;31/03/2026;PRIME OFTALMOLOGIA - 2 FASE da obra;Rua Alberto Sartório, 173, Universitário, São Mateus,  CEP29933-400;ATIVO;Mensal
ESCADA S200;R$ 725;R$ 4.350;1039;Apoio;-;14,5;87;R$ 380,00;Sublocado;6;130;R$ 74.284,42;CLÍNICA OFTALMOLÓGICA BAHIA GOING LTDA - ME;27/06/2025;31/03/2026;PRIME OFTALMOLOGIA - 2 FASE da obra;Rua Alberto Sartório, 173, Universitário, São Mateus,  CEP29933-400;ATIVO;Mensal
ESCADA S200;R$ 725;R$ 4.350;1039;Apoio;-;14,5;87;R$ 380,00;Sublocado;6;130;R$ 74.284,42;CLÍNICA OFTALMOLÓGICA BAHIA GOING LTDA - ME;27/06/2025;31/03/2026;PRIME OFTALMOLOGIA - 2 FASE da obra;Rua Alberto Sartório, 173, Universitário, São Mateus,  CEP29933-400;ATIVO;Mensal
ESCORA FÊMEA EURO;R$ 560;R$ 20.160;156;MMK;-;11,2;403,2;R$ 0,00;Próprio;36;170;R$ 20.911,01;AGUIA PARTICIPACOES E SERVICOS LTDA;11/03/2026;01/05/2026;RESIDENCIA BOULEVARD DA LAGOA;AVENIDA TALMA RODRIGUES RIBEIRO S/N;ATIVO;Mensal
ESCORA FÊMEA EURO;R$ 560;R$ 1.120;156;MMK;-;11,2;22,4;R$ 0,00;Próprio;2;165;R$ 20.065,21;QUALITY CONSTRUTORA E INCORPORADORA LTDA;23/02/2026;31/03/2026;ALPHAVILLE 3 PRAIAS - RES. EVERSON DADALTO;Alphaville 3 Praias - Guarapari/ES;ATIVO;Mensal
ESCORA FÊMEA EURO;R$ 560;R$ 6.720;156;MMK;-;11,2;134,4;R$ 0,00;Próprio;12;165;R$ 20.065,21;QUALITY CONSTRUTORA E INCORPORADORA LTDA;23/02/2026;31/03/2026;ALPHAVILLE 3 PRAIAS - RES. EVERSON DADALTO;Alphaville 3 Praias - Guarapari/ES;ATIVO;Mensal
ESCORA FÊMEA EURO;R$ 560;R$ 16.800;156;MMK;-;11,2;336;R$ 0,00;Próprio;30;157;R$ 62.335,81;MIX CAR VEICULOS LTDA;07/01/2026;31/03/2026;MIX CAR   Galpão Via Forte (Alphaville);ALPHA VIP MALL - ALAMEDA MAJOR PISSARRA, S/N - LOJA 3 - Carapina, Serra - ES, 29161-279 ;ATIVO;Mensal
